Opponent,UCSB 1,UCSB 2,UCSB 3,UCSB 4,UCSB 5,Opp 1,Opp 2,Opp 3,Opp 4,Opp 5
UC San Diego,20,25,25,25,,25,14,19,18,
UC Irvine,25,25,25,,,20,17,16,,
Cal Poly,25,25,25,,,19,19,21,,
CSU Bakersfield,25,25,25,25,,18,27,22,20,
Long Beach State,26,25,25,,,24,20,19,,
Cal State Fullerton,25,25,25,,,13,16,17,,
UC Riverside,25,25,25,,,20,19,17,,
UC Davis,25,21,25,23,,27,25,18,25,
CSUN,25,25,25,,,19,21,15,,
Hawai'i,25,25,25,,,16,16,23,,
UC Irvine,23,25,28,25,15,25,22,30,21,9
UC San Diego,25,23,25,25,,16,25,12,18,
CSU Bakersfield,25,25,25,,,15,15,17,,
Cal Poly,25,20,16,22,,22,25,25,25,
Cal State Fullerton,25,25,25,,,23,23,15,,
Long Beach State,20,17,25,19,,25,25,13,25,
UC Davis,26,25,25,,,24,15,19,,
UC Riverside,25,25,25,,,14,13,15,,
CSUN,25,25,25,,,17,23,15,,
Hawai'i,18,25,25,20,15,25,21,23,25,12